"tema","idGuest","convidado","total"
"Cinema",1212141954,"Camila Sousa",25
"Cinema",1212139351,"Pri Ganiko",25
"Cinema",3508,"Guga Ferrari",23
"Cinema",1212137936,"Marcelo Bassoli",22
"Cinema",1212123226,"Rex",20
"Cinema",1212140265,"Katiucha Barcelos",19
"Cinema",2595,"Eduardo Spohr",18
"Cinema",3515,"JP",17
"Cinema",1212122464,"Sr.K",13
"Cinema",1212122795,"Affonso Solano",10
"Cinema",1212141859,"Gabriel Avila",10
"Cinema",3662,"Android",9
"Cinema",1212122669,"Leonel Caldela",8
"Cinema",1212140172,"Max Valarezo",8
"Cinema",3244,"Bluehand",7
"Cinema",1212141330,"Tayná Garcia",7
"Cinema",1212123564,"Caio Gomes",6
"Cinema",1212123033,"Marcelo Forlani",6
"Cinema",1212141845,"Pedro Duarte",6
"Cinema",1212141393,"LOAD",5
"Cinema",1212123847,"André Souza",4
"Cinema",1212143191,"Arthur Eloi",4
"Cinema",1212122797,"Diogo Braga",4
"Cinema",326,"Guilherme Briggs",4
"Cinema",1212123573,"Amigo Imaginário",3
"Cinema",1212122862,"Atila",3
"Cinema",1212123502,"Borbs",3
"Cinema",1212122463,"Cardoso",3
"Cinema",1212122799,"Fabio Yabu",3
"Cinema",1212122317,"Gaveta",3
"Cinema",5035,"Maurício Saldanha",3
"Cinema",309,"Nick Ellis",3
"Cinema",2002,"Portuguesa",3
"Cinema",2003,"Sra. Jovem Nerd",3
"Cinema",1212141184,"Ale Santos",2
"Cinema",1212144179,"Alottoni",2
"Cinema",1212123575,"Anderson Argentoni",2
"Cinema",1212122796,"Beto Estrada",2
"Cinema",1212124836,"Guga Mafra",2
"Cinema",4877,"Marco Gomes",2
"Cinema",1212130385,"Paulo Silveira",2
"Cinema",1212138688,"Rossana Modolin",2
"Cinema",1212122465,"Afonso 3d",1
"Cinema",1212141924,"Alan Dubox",1
"Cinema",1212136729,"Alexander Stahlhoefer",1
"Cinema",1212123648,"Alexandre Inagaki",1
"Cinema",1212140884,"Aline Diniz",1
"Cinema",3641,"Almôndega",1
"Cinema",1212138572,"Altay Souza",1
"Cinema",1212129496,"Ana Arantes",1
"Cinema",1212138693,"Baunilha",1
"Cinema",3325,"Carlos Merigo",1
"Cinema",313,"Cris Dias",1
"Cinema",1212140683,"Daniel John Furuno",1
