"ano","product","idGuest","convidado","total"
2012,"nerdcast",1212122797,"Diogo Braga",6
2012,"nerdcast",1212122796,"Beto Estrada",5
2012,"nerdcast",3508,"Guga Ferrari",5
2012,"nerdcast",1212122464,"Sr.K",5
2012,"nerdcast",1212122465,"Afonso 3d",4
2012,"nerdcast",3662,"Android",4
2012,"nerdcast",1212122862,"Atila",4
2012,"nerdcast",1212122799,"Fabio Yabu",4
2012,"nerdcast",1212122846,"Jonny Ken",4
2012,"nerdcast",2002,"Portuguesa",4
2012,"nerdcast",2003,"Sra. Jovem Nerd",4
2012,"nerdcast",313,"Cris Dias",3
2012,"nerdcast",326,"Guilherme Briggs",3
2012,"nerdcast",1212123033,"Marcelo Forlani",3
2012,"nerdcast",4877,"Marco Gomes",3
2012,"nerdcast",1212123226,"Rex",3
2012,"nerdcast",1212123565,"Rafael Calsaverini",2
2012,"nerdcast",1212123573,"Amigo Imaginário",1
2012,"nerdcast",1212123847,"André Souza",1
2012,"nerdcast",1212123333,"Bia Granja",1
2012,"nerdcast",1212123502,"Borbs",1
2012,"nerdcast",1212123564,"Caio Gomes",1
2012,"nerdcast",1212122463,"Cardoso",1
2012,"nerdcast",1212123334,"Edney Souza",1
2012,"nerdcast",1212122798,"Francine Gladulich",1
2012,"nerdcast",1212123034,"Gica Yabu",1
2012,"nerdcast",1212123618,"Gustavo Guanabara",1
2012,"nerdcast",1212123651,"Hell",1
2012,"nerdcast",1212122952,"Leo Lopes",1
2012,"nerdcast",5035,"Maurício Saldanha",1
2012,"nerdcast",1212140216,"Monark",1
2012,"nerdcast",1212123647,"Rogério Bonfim",1
2012,"nerdcast",1212126050,"Sérgio Sacani",1
2012,"nerdcast",1212140217,"Vinícios Duarte",1
2013,"nerdcast",274,"Tucano",17
2013,"nerdcast",3515,"JP",14
2013,"nerdcast",3244,"Bluehand",11
2013,"nerdcast",1212123564,"Caio Gomes",10
2013,"nerdcast",2595,"Eduardo Spohr",9
2013,"nerdcast",1212122795,"Affonso Solano",7
2013,"nerdcast",1212122862,"Atila",7
2013,"nerdcast",1212122796,"Beto Estrada",7
2013,"nerdcast",1212122463,"Cardoso",7
2013,"nerdcast",1212122464,"Sr.K",7
2013,"nerdcast",1212122797,"Diogo Braga",5
2013,"nerdcast",3508,"Guga Ferrari",5
2013,"nerdcast",4877,"Marco Gomes",5
2013,"nerdcast",1212123573,"Amigo Imaginário",4
2013,"nerdcast",1212122462,"Carlos Voltor",4
2013,"nerdcast",1212124762,"Izzy Nobre",4
2013,"nerdcast",3662,"Android",3
2013,"nerdcast",1212123847,"André Souza",3
2013,"nerdcast",313,"Cris Dias",3
2013,"nerdcast",2002,"Portuguesa",3
2013,"nerdcast",1212123565,"Rafael Calsaverini",3
2013,"nerdcast",2003,"Sra. Jovem Nerd",3
2013,"nerdcast",1212122799,"Fabio Yabu",2
2013,"nerdcast",1212124836,"Guga Mafra",2
2013,"nerdcast",309,"Nick Ellis",2
2013,"nerdcast",1212124682,"Vinícius K-Max",2
2013,"nerdcast",1212122465,"Afonso 3d",1
2013,"nerdcast",1212125306,"André Vianco",1
2013,"nerdcast",1212126509,"Bruno Carvalho",1
2013,"nerdcast",1212123529,"Cauê Moura",1
2013,"nerdcast",1212123334,"Edney Souza",1
2013,"nerdcast",1212126508,"Evandro de Freitas",1
2013,"nerdcast",1212125499,"Gabriel Dread",1
2013,"nerdcast",326,"Guilherme Briggs",1
2013,"nerdcast",1212125542,"Jeff Paiva",1
2013,"nerdcast",1212122846,"Jonny Ken",1
2013,"nerdcast",5034,"Jurandir Filho",1
2013,"nerdcast",1212122669,"Leonel Caldela",1
2013,"nerdcast",1212125950,"Marcela Versiani",1
2013,"nerdcast",1212124811,"Marcelinho",1
2013,"nerdcast",5035,"Maurício Saldanha",1
2013,"nerdcast",1212125498,"Pierre Schurmann",1
2013,"nerdcast",4307,"Raphael Draccon",1
2013,"nerdcast",1212123226,"Rex",1
2013,"nerdcast",1212126050,"Sérgio Sacani",1
2014,"empreendedor",1212126189,"Flávio Augusto",1
2014,"empreendedor",4877,"Marco Gomes",1
2014,"nerdcast",274,"Tucano",18
2014,"nerdcast",3515,"JP",14
2014,"nerdcast",1212122795,"Affonso Solano",12
2014,"nerdcast",2595,"Eduardo Spohr",10
2014,"nerdcast",3244,"Bluehand",7
2014,"nerdcast",1212122464,"Sr.K",7
2014,"nerdcast",1212123564,"Caio Gomes",6
2014,"nerdcast",1212122462,"Carlos Voltor",6
2014,"nerdcast",2002,"Portuguesa",6
2014,"nerdcast",1212122846,"Jonny Ken",5
2014,"nerdcast",1212122862,"Atila",4
2014,"nerdcast",1212122463,"Cardoso",4
2014,"nerdcast",1212122797,"Diogo Braga",4
2014,"nerdcast",1212124836,"Guga Mafra",4
2014,"nerdcast",3662,"Android",3
2014,"nerdcast",1212122796,"Beto Estrada",3
2014,"nerdcast",3508,"Guga Ferrari",3
2014,"nerdcast",5034,"Jurandir Filho",3
2014,"nerdcast",309,"Nick Ellis",3
2014,"nerdcast",2003,"Sra. Jovem Nerd",3
2014,"nerdcast",1212123529,"Cauê Moura",2
2014,"nerdcast",1212122799,"Fabio Yabu",2
2014,"nerdcast",1212125943,"Fábio Lugar",2
2014,"nerdcast",1212122952,"Leo Lopes",2
2014,"nerdcast",1212125942,"Pirula",2
2014,"nerdcast",1212123565,"Rafael Calsaverini",2
2014,"nerdcast",1212123226,"Rex",2
2014,"nerdcast",1212126386,"Alek",1
2014,"nerdcast",1212123847,"André Souza",1
2014,"nerdcast",1212125306,"André Vianco",1
2014,"nerdcast",1212126483,"Barbara Russell",1
2014,"nerdcast",1212126509,"Bruno Carvalho",1
2014,"nerdcast",3325,"Carlos Merigo",1
2014,"nerdcast",313,"Cris Dias",1
2014,"nerdcast",1212126308,"David Preti",1
2014,"nerdcast",1212123334,"Edney Souza",1
2014,"nerdcast",1212126060,"Eduardo Sales",1
2014,"nerdcast",1212126484,"Ernesto Belote",1
2014,"nerdcast",1212126508,"Evandro de Freitas",1
2014,"nerdcast",1212122798,"Francine Gladulich",1
2014,"nerdcast",1212126249,"Fê Castanhari",1
2014,"nerdcast",1212122317,"Gaveta",1
2014,"nerdcast",1212123034,"Gica Yabu",1
2014,"nerdcast",326,"Guilherme Briggs",1
2014,"nerdcast",1212124762,"Izzy Nobre",1
2014,"nerdcast",1212125928,"Ken Fujioka",1
2014,"nerdcast",1212122669,"Leonel Caldela",1
2014,"nerdcast",1212126475,"Maestro Billy",1
2014,"nerdcast",1212124811,"Marcelinho",1
2014,"nerdcast",1212126341,"Marcos Castro",1
2014,"nerdcast",1212126369,"Mauricio Cid",1
2014,"nerdcast",1212126238,"Nuno",1
2014,"nerdcast",1212123647,"Rogério Bonfim",1
2014,"nerdcast",1212126050,"Sérgio Sacani",1
2014,"nerdcast",1212126239,"Yuri Fang",1
2015,"empreendedor",1212126189,"Flávio Augusto",12
2015,"empreendedor",1212126641,"Sandro Magaldi",10
2015,"empreendedor",1212126599,"Yuri Gitahy",1
2015,"nerdcast",274,"Tucano",17
2015,"nerdcast",3515,"JP",11
2015,"nerdcast",2595,"Eduardo Spohr",9
2015,"nerdcast",1212123847,"André Souza",8
2015,"nerdcast",1212122862,"Atila",7
2015,"nerdcast",3244,"Bluehand",7
2015,"nerdcast",1212123564,"Caio Gomes",7
2015,"nerdcast",1212122795,"Affonso Solano",5
2015,"nerdcast",1212122846,"Jonny Ken",5
2015,"nerdcast",1212122464,"Sr.K",5
2015,"nerdcast",1212122462,"Carlos Voltor",4
2015,"nerdcast",1212127694,"Filipe Figueiredo",4
2015,"nerdcast",1212122797,"Diogo Braga",3
2015,"nerdcast",4877,"Marco Gomes",3
2015,"nerdcast",2002,"Portuguesa",3
2015,"nerdcast",1212123226,"Rex",3
2015,"nerdcast",1212122465,"Afonso 3d",2
2015,"nerdcast",3662,"Android",2
2015,"nerdcast",1212133685,"André Gordirro",2
2015,"nerdcast",1212126308,"David Preti",2
2015,"nerdcast",1212126189,"Flávio Augusto",2
2015,"nerdcast",1212122317,"Gaveta",2
2015,"nerdcast",3508,"Guga Ferrari",2
2015,"nerdcast",1212128349,"Irado",2
2015,"nerdcast",1212125942,"Pirula",2
2015,"nerdcast",1212126386,"Alek",1
2015,"nerdcast",3641,"Almôndega",1
2015,"nerdcast",1212129496,"Ana Arantes",1
2015,"nerdcast",1212128837,"Ana Cecília Moraes",1
2015,"nerdcast",1212122796,"Beto Estrada",1
2015,"nerdcast",1212123579,"Bia Kunze",1
2015,"nerdcast",1212126509,"Bruno Carvalho",1
2015,"nerdcast",1212129333,"Camila",1
2015,"nerdcast",1212128626,"Daniel ""HP""",1
2015,"nerdcast",1212126508,"Evandro de Freitas",1
2015,"nerdcast",1212122798,"Francine Gladulich",1
2015,"nerdcast",1212128441,"Ghost",1
2015,"nerdcast",1212128442,"Gilsomar Livramento",1
2015,"nerdcast",1212124836,"Guga Mafra",1
2015,"nerdcast",1212126568,"Gui Leite",1
2015,"nerdcast",1212124762,"Izzy Nobre",1
2015,"nerdcast",5034,"Jurandir Filho",1
2015,"nerdcast",1212122952,"Leo Lopes",1
2015,"nerdcast",1212127968,"Leon Martins",1
2015,"nerdcast",1212128722,"Marcos Pontes",1
2015,"nerdcast",309,"Nick Ellis",1
2015,"nerdcast",1212127967,"Nilce Moretto",1
2015,"nerdcast",1212126598,"Paloma",1
2015,"nerdcast",1212126816,"Romero Britto",1
2015,"nerdcast",1212126641,"Sandro Magaldi",1
2015,"nerdcast",2003,"Sra. Jovem Nerd",1
2015,"nerdcast",1212128627,"Virgílio Virga",1
2015,"nerdcast",1212143686,"guga",1
2016,"empreendedor",1212126641,"Sandro Magaldi",12
2016,"empreendedor",1212126189,"Flávio Augusto",9
2016,"empreendedor",1212130088,"Pedro Waengertner",2
2016,"empreendedor",1212133229,"Cris Correa",1
2016,"empreendedor",1212132463,"Gina Gotthilf",1
2016,"empreendedor",1212130301,"Gustavo Caetano",1
2016,"empreendedor",1212130831,"Pedro Sorrentino",1
2016,"empreendedor",1212134840,"Renato Hirata",1
2016,"nerdcast",274,"Tucano",17
2016,"nerdcast",3515,"JP",12
2016,"nerdcast",1212122464,"Sr.K",11
2016,"nerdcast",2595,"Eduardo Spohr",9
2016,"nerdcast",1212123564,"Caio Gomes",8
2016,"nerdcast",1212122462,"Carlos Voltor",8
2016,"nerdcast",1212127694,"Filipe Figueiredo",8
2016,"nerdcast",1212123847,"André Souza",7
2016,"nerdcast",1212122862,"Atila",6
2016,"nerdcast",1212123226,"Rex",6
2016,"nerdcast",2002,"Portuguesa",4
2016,"nerdcast",1212122795,"Affonso Solano",3
2016,"nerdcast",1212129496,"Ana Arantes",3
2016,"nerdcast",3244,"Bluehand",3
2016,"nerdcast",1212122797,"Diogo Braga",3
2016,"nerdcast",3508,"Guga Ferrari",3
2016,"nerdcast",1212124836,"Guga Mafra",3
2016,"nerdcast",1212128349,"Irado",3
2016,"nerdcast",3662,"Android",2
2016,"nerdcast",1212122796,"Beto Estrada",2
2016,"nerdcast",1212126308,"David Preti",2
2016,"nerdcast",1212122799,"Fabio Yabu",2
2016,"nerdcast",1212124762,"Izzy Nobre",2
2016,"nerdcast",4877,"Marco Gomes",2
2016,"nerdcast",1212125942,"Pirula",2
2016,"nerdcast",1212122465,"Afonso 3d",1
2016,"nerdcast",1212133984,"Barbara Gutierrez",1
2016,"nerdcast",1212126509,"Bruno Carvalho",1
2016,"nerdcast",1212130300,"Bruno Gunter",1
2016,"nerdcast",1212134327,"Conrado Pesinato",1
2016,"nerdcast",1212130173,"Dexter",1
2016,"nerdcast",1212134455,"Edu Cavalcante",1
2016,"nerdcast",1212126508,"Evandro de Freitas",1
2016,"nerdcast",1212135105,"Fernando Reule",1
2016,"nerdcast",1212130824,"Fábio Porchat",1
2016,"nerdcast",1212122317,"Gaveta",1
2016,"nerdcast",1212123574,"Henrique Granado",1
2016,"nerdcast",1212130174,"Inaldo",1
2016,"nerdcast",5034,"Jurandir Filho",1
2016,"nerdcast",1212127968,"Leon Martins",1
2016,"nerdcast",1212122669,"Leonel Caldela",1
2016,"nerdcast",1212133985,"Lucas ""Marduk"" Rampinelli",1
2016,"nerdcast",1212130384,"Lucas Radaelli",1
2016,"nerdcast",1212134456,"Malena",1
2016,"nerdcast",1212125950,"Marcela Versiani",1
2016,"nerdcast",1212124811,"Marcelinho",1
2016,"nerdcast",1212130299,"Marina Val",1
2016,"nerdcast",1212130298,"Mau Faccio",1
2016,"nerdcast",1212133328,"Nathalia Arcuri",1
2016,"nerdcast",1212135106,"Natália Freitas",1
2016,"nerdcast",309,"Nick Ellis",1
2016,"nerdcast",1212135137,"Paul H. Paulino",1
2016,"nerdcast",1212134651,"Renata Primavera",1
2016,"nerdcast",2003,"Sra. Jovem Nerd",1
2016,"nerdtech",1212130385,"Paulo Silveira",10
2016,"nerdtech",1212130386,"Sérgio Lopes",6
