"product","episode","duration","start-time","end-time"
"empreendedor","43",2637,0,0
"empreendedor","44",3684,0,0
"empreendedor","45",3851,0,0
"empreendedor","46",3143,0,0
"empreendedor","47",3489,0,0
"empreendedor","48",3154,0,0
"empreendedor","49",3587,0,0
"empreendedor","50",2739,0,0
"empreendedor","51",2170,0,0
"empreendedor","52",3376,0,0
"empreendedor","53",2362,0,0
"empreendedor","54",2782,0,0
"empreendedor","55",2678,0,0
"empreendedor","56",2613,0,0
"empreendedor","57",4312,0,0
"empreendedor","58",3437,0,0
"empreendedor","59",3975,0,0
"empreendedor","60",1772,0,0
"empreendedor","61",2963,0,0
"empreendedor","62",2728,0,0
"empreendedor","63",1529,0,0
"empreendedor","64",3007,0,0
"empreendedor","65",2631,0,0
"empreendedor","66",1923,0,0
"empreendedor","67",3773,0,0
"empreendedor","68",2541,0,0
"empreendedor","69",3456,0,0
"empreendedor","70",2649,0,0
"empreendedor","71",2115,0,0
"empreendedor","72",4740,0,0
"empreendedor","73",2063,0,0
"empreendedor","74",2203,0,0
"empreendedor","75",2131,0,0
"empreendedor","76",2893,0,0
"empreendedor","77",3381,0,0
"empreendedor","78",2376,0,0
"empreendedor","79",2034,0,0
"empreendedor","80",3060,0,0
"empreendedor","81",3300,0,0
"empreendedor","82",4177,0,0
"empreendedor","83",2016,0,0
"empreendedor","84",3553,0,0
"empreendedor","85",2929,0,0
"empreendedor","86",3440,0,0
"empreendedor","87",2379,0,0
"empreendedor","88",2708,0,0
"empreendedor","89",1650,0,0
"empreendedor","90",2950,0,0
"empreendedor","91",2452,0,0
"extra","Oferecido por Valorant",4713,0,0
"extra","Oferecido por Participathivos",2571,0,0
"extra","Oferecido por Spotify",3780,0,0
"extra","Oferecido por BIS XTRA",3780,0,0
"extra","Oferecido por Avanade",4320,0,0
"extra","Oferecido por Arcane: League of Legends",3000,0,0
"extra","Oferecido por Arcane: League of Legends",3623,0,0
"extra","Oferecido por Arcane: League of Legends",4134,0,0
"extra","Oferecido por Fanta",4305,0,0
"extra","Oferecido por Empréstimo SIM",5938,0,0
"extra","Oferecido por Zapsign",3526,0,0
"extra","Oferecido por Instituto Mauá de Tecnologia",2295,0,0
"extra","Oferecido por Magic: The Gathering",3035,0,0
"ge","01",2566,0,0
"generacast","01",5480,0,0
"generacast","02",4459,0,0
"generacast","03",3032,0,0
"generacast","04",3325,0,0
"generacast","05",3086,0,0
"generacast","06",3084,0,0
"generacast","07",3240,0,0
"generacast","08",3188,0,0
"generacast","09",3167,0,0
"generacast","10",2421,0,0
"generacast","11",3129,0,0
"generacast","12",2448,0,0
"halocast","1",1081,0,0
"halocast","2",1001,0,0
"halocast","3",775,0,0
"la-do-bunker","01",2430,0,0
"la-do-bunker","02",2031,0,0
"la-do-bunker","03",2577,0,0
"la-do-bunker","04",2625,0,0
"la-do-bunker","05",3038,0,0
"la-do-bunker","06",3098,0,0
"la-do-bunker","07",2887,0,0
"la-do-bunker","08",2902,0,0
"la-do-bunker","09",2767,0,0
"la-do-bunker","10",2587,0,0
"la-do-bunker","11",2718,0,0
"la-do-bunker","12",2951,0,0
"la-do-bunker","13",2984,0,0
"la-do-bunker","14",3107,0,0
"la-do-bunker","15",2818,0,0
